Conference,TopicID,Word,Month,Probability
tourism,1,ciudades,Apr,0.025395727
tourism,1,ciudades,May,0.022220833
tourism,1,ciudades,Jun,0.018848035
tourism,1,ciudades,Jul,0.03083365
tourism,1,ciudades,Aug,0.022220187
tourism,1,ciudades,Sep,0.031842805
tourism,1,ciudades,Oct,0.021406062
tourism,1,ciudades,Nov,0.025178224
tourism,1,ciudades,Dec,0.022003734
tourism,1,diallo,Jan,0.0
tourism,1,diallo,Feb,0.0
tourism,1,diallo,Mar,0.0
tourism,1,diallo,Apr,0.0
tourism,1,diallo,May,0.0
tourism,1,diallo,Jun,0.0
tourism,1,diallo,Jul,0.0
tourism,1,diallo,Aug,0.013526457
tourism,1,diallo,Sep,0.012302708
tourism,1,diallo,Oct,0.012634061
tourism,1,diallo,Nov,0.016776389
tourism,1,diallo,Dec,0.0
tourism,1,vivre,Jan,0.0
tourism,1,vivre,Feb,0.0
tourism,1,vivre,Mar,0.0
tourism,1,vivre,Apr,0.0
tourism,1,vivre,May,0.0
tourism,1,vivre,Jun,0.0
tourism,1,vivre,Jul,0.0
tourism,1,vivre,Aug,0.012800938
tourism,1,vivre,Sep,0.0
tourism,1,vivre,Oct,0.0
tourism,1,vivre,Nov,0.0
tourism,1,vivre,Dec,0.0
tourism,1,literatura,Jan,0.01325055
tourism,1,literatura,Feb,0.016361693
tourism,1,literatura,Mar,0.019606033
tourism,1,literatura,Apr,0.014899941
tourism,1,literatura,May,0.0
tourism,1,literatura,Jun,0.01367671
tourism,1,literatura,Jul,0.015325445
tourism,1,literatura,Aug,0.023107514
tourism,1,literatura,Sep,0.018955117
tourism,1,literatura,Oct,0.015543428
tourism,1,literatura,Nov,0.016572243
tourism,1,literatura,Dec,0.017854797
tourism,1,voit,Jan,0.0
tourism,1,voit,Feb,0.0
tourism,1,voit,Mar,0.0
tourism,1,voit,Apr,0.0
tourism,1,voit,May,0.0
tourism,1,voit,Jun,0.010681095
tourism,1,voit,Jul,0.0
tourism,1,voit,Aug,0.0
tourism,1,voit,Sep,0.0
tourism,1,voit,Oct,0.013273133
tourism,1,voit,Nov,0.0
tourism,1,voit,Dec,0.0
tourism,1,yesung,Jan,0.0
tourism,1,yesung,Feb,0.0
tourism,1,yesung,Mar,0.013252579
tourism,1,yesung,Apr,0.0
tourism,1,yesung,May,0.0
tourism,1,yesung,Jun,0.011471569
tourism,1,yesung,Jul,0.0
tourism,1,yesung,Aug,0.020226559
tourism,1,yesung,Sep,0.014179925
tourism,1,yesung,Oct,0.0
tourism,1,yesung,Nov,0.015386219
tourism,1,yesung,Dec,0.014715872
tourism,1,jusqu,Jan,0.0
tourism,1,jusqu,Feb,0.0
tourism,1,jusqu,Mar,0.0
tourism,1,jusqu,Apr,0.0
tourism,1,jusqu,May,0.0
tourism,1,jusqu,Jun,0.011531292
tourism,1,jusqu,Jul,0.0
tourism,1,jusqu,Aug,0.0
tourism,1,jusqu,Sep,0.0
tourism,1,jusqu,Oct,0.0
tourism,1,jusqu,Nov,0.0
tourism,1,jusqu,Dec,0.0
tourism,1,attempt,Jan,0.011774628
tourism,1,attempt,Feb,0.010790667
tourism,1,attempt,Mar,0.013748525
tourism,1,attempt,Apr,0.014892242
tourism,1,attempt,May,0.016130855
tourism,1,attempt,Jun,0.0
tourism,1,attempt,Jul,0.013801341
tourism,1,attempt,Aug,0.0
tourism,1,attempt,Sep,0.0
tourism,1,attempt,Oct,0.013727111
tourism,1,attempt,Nov,0.015607278
tourism,1,attempt,Dec,0.013372853
tourism,1,riepilogo,Jan,0.0
tourism,1,riepilogo,Feb,0.0
tourism,1,riepilogo,Mar,0.014089502
tourism,1,riepilogo,Apr,0.015000164
tourism,1,riepilogo,May,0.017994558
tourism,1,riepilogo,Jun,0.0
tourism,1,riepilogo,Jul,0.013632852
tourism,1,riepilogo,Aug,0.0
tourism,1,riepilogo,Sep,0.0
tourism,1,riepilogo,Oct,0.0
tourism,1,riepilogo,Nov,0.0
tourism,1,riepilogo,Dec,0.011933949
tourism,1,third,Jan,0.0
tourism,1,third,Feb,0.0
tourism,1,third,Mar,0.0
tourism,1,third,Apr,0.013185241
tourism,1,third,May,0.012744249
tourism,1,third,Jun,0.0
